Output1,Output2,Output3,Output4,Truth
A woman in a black shirt and glasses is sitting on the street while people,A woman in a black shirt and glasses is sitting on the street while player,A woman in a black shirt and glasses is sitting on the street,A woman in a black shirt and glasses is sitting on the ground,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera"
The woman is wearing a red shirt,The man is wearing a blue shirt,The man is walking down a street,The woman is walking down,three men going to work
A woman in a black shirt and glasses is sitting on the street while people,A woman in a black shirt and glasses is sitting on the street while player,A woman in a black shirt and glasses is sitting on the street,A woman in a black shirt and glasses is sitting on the ground,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera"
The woman is wearing a red shirt,The man is walking down a street,The dog is running through a man,The dog is running on a bench,three men look at the camera
A woman in a black shirt and glasses is sitting on the street while people,A woman in a black shirt and glasses is sitting on the street while player,A woman in a black shirt and glasses is sitting on the street,A woman in a black shirt and glasses is sitting on the ground,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera"
A woman is walking down a street,The man is walking down a street,The woman is wearing a red shirt,The woman is walking down a bench,three men sleeping in a tent
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street with a man,A group of people walking down the street,A Ford car is making a right turn as 3 males are walking across the street behind the car
A woman is walking down the street,A man is walking down the street,A person is walking down the street,A woman is walking down the street with a ball,A car making a right turn had three pedestrians cross behind it
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street with a man,A group of people walking down the street,A Ford car is making a right turn as 3 males are walking across the street behind the car
A woman is walking down the street,A man is walking down the street,A woman is walking down the street with a ball,A woman is walking down the street with a park,A sedan was turning a corner as walkers were crossing
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street with a man,A group of people walking down the street,A Ford car is making a right turn as 3 males are walking across the street behind the car
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street inside,A group of people walking down the street,A car proceeding straight as pedestrians walked across the road in back of it
3 people are walking down the street,3 men are walking down the street,3 people are walking on the street,3 people are walking down a street,Three boys in white shirts are walking behind an older model Ford car
Two people are sitting on the beach,Two people are sitting on a bench,Two people are sitting on the grass,The woman is walking down a street,there are three boys
3 people are walking down the street,3 men are walking down the street,3 people are walking on the street,3 people are walking down a street,Three boys in white shirts are walking behind an older model Ford car
The man is wearing a red shirt,The woman is walking down,The people are walking down,The woman is wearing a hat,There are three girls
3 people are walking down the street,3 men are walking down the street,3 people are walking on the street,3 people are walking down a street,Three boys in white shirts are walking behind an older model Ford car
The people are sitting outside,The people are walking outside,The people are outside,The woman is outside,The boys are on the street
3 people are sitting on the beach,3 people are sitting on the ground,3 people are sitting on a bench,3 people are standing on a bench,Three girls blow out the candles of a cake made of Peeps
The woman is walking down a street,The woman is sitting on a bench,The woman is sitting outside on a bench,The woman is sitting on a street,Some people are blowing out candles
3 people are sitting on the beach,3 people are sitting on the ground,3 people are sitting on a bench,3 people are standing on a bench,Three girls blow out the candles of a cake made of Peeps
A man is walking down the street,The woman is walking down a street,The woman is wearing a red shirt,A woman is walking down a street,There are three girls and a cake
3 people are sitting on the beach,3 people are sitting on the ground,3 people are sitting on a bench,3 people are standing on a bench,Three girls blow out the candles of a cake made of Peeps
The people are standing outside,The people are sitting on a bench,The people are sitting outside,The people are walking through a man,There are peeps in the garden
A group of people are standing outside on the beach,A group of people are standing outside on a bench,A group of people walking down the street with a man,A group of people walking down the street,A crowd of people looking up at 3 people on the edge of the roof of a building
A group of people walking down the street,A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting in the water,The crowd is calling for help for the people on the roof
A group of people are standing outside on the beach,A group of people are standing outside on a bench,A group of people walking down the street with a man,A group of people walking down the street,A crowd of people looking up at 3 people on the edge of the roof of a building
A group of people are walking down the street,A group of people are walking down the street with a man,A group of people are walking down the street inside,A group of people are walking down the street with a car,The crowd on the ground is watching 3 people on the roof's edge
A group of people are standing outside on the beach,A group of people are standing outside on a bench,A group of people walking down the street with a man,A group of people walking down the street,A crowd of people looking up at 3 people on the edge of the roof of a building
3 people are walking down a street,3 people are sitting on the ground,3 people are standing outside,3 people are sitting on the beach,Three people are climbing down the ladder on the building
A man is walking down the street,A woman is walking on the street,A woman is sitting on the street,A man is sitting on the street,A woman working long hours
A man is walking down the street,A woman is walking down a street,A man is walking down a street,A woman is sitting on a bench,A woman is working in a factory
A man is walking down the street,A woman is walking on the street,A woman is sitting on the street,A man is sitting on the street,A woman working long hours
A man is walking down the street,A woman is sitting on the street,A woman is walking down a street,A man is sitting on the street,A woman is working
A man is walking down the street,A woman is walking on the street,A woman is sitting on the street,A man is sitting on the street,A woman working long hours
A man is sitting on the street,A woman is sitting on a bench,A woman is sitting on the beach,A man is sitting on a bench,A woman is sleeping
2 people are sitting on the beach,2 people are standing on the beach,2 people are sitting on the ground,The people are sitting on a bench,Two teenage girls conversing next to lockers
The people are sitting on a bench,The people are standing outside,The people are standing on a bench,The woman is sitting on a bench,Girls talking next to the toilet
2 people are sitting on the beach,2 people are standing on the beach,2 people are sitting on the ground,The people are sitting on a bench,Two teenage girls conversing next to lockers
The people are sitting on their beach,The people are walking down a street,The people are sitting outside,The people are sitting on a bench,People talking next to lockers
2 people are sitting on the beach,2 people are standing on the beach,2 people are sitting on the ground,The people are sitting on a bench,Two teenage girls conversing next to lockers
The woman is walking down a street,The woman is standing outside,The woman is sitting on a bench,The woman is sitting outside,Girls talking about their problems next to lockers
A group of people are walking down the street,A group of people are sitting outside on the beach,A group of people are standing outside on a bench,A group of people are walking down a street,An old woman watches a man look down at some balls on the ground
A group of people are standing outside,A group of people are watching the street,A group of people are watching their ball,A group of people are walking down a train,An elderly female is stalking a male
A group of people are walking down the street,A group of people are sitting outside on the beach,A group of people are standing outside on a bench,A group of people are walking down a street,An old woman watches a man look down at some balls on the ground
A group of people are sitting outside,A group of people walking down a street,A group of people are walking alone,A group of people are walking down,A gray haired person is looking at a gentleman
A group of people are walking down the street,A group of people are sitting outside on the beach,A group of people are standing outside on a bench,A group of people are walking down a street,An old woman watches a man look down at some balls on the ground
The people are standing outside,The people are sitting on a bench,2 people are sitting on a bench,The woman is sitting on a bench,Two people are sleeping on the train
The man is wearing a blue shirt,The man is wearing a blue t-shirt,The boy is playing with their hands,The people are sitting on a bench,"Two children, both wearing tan coats, are embracing one another"
2 people are sitting on the ground,The people are sitting on a bench,2 people are standing on the beach,2 people are standing outside,Two kids are hugging after surviving a horrible car wreck
The man is wearing a blue shirt,The man is wearing a blue t-shirt,The boy is playing with their hands,The people are sitting on a bench,"Two children, both wearing tan coats, are embracing one another"
The people are sitting outside,2 people are sitting outside,The man is sitting outside,The people are outside,Two kids are hugging
The man is wearing a blue shirt,The man is wearing a blue t-shirt,The boy is playing with their hands,The people are sitting on a bench,"Two children, both wearing tan coats, are embracing one another"
Two people are sitting on a bench,2 people are sitting on a bench,Two people are sitting on a beach,Two people are sitting on a couch,Two kids are running down a highway
2 people are standing outside on the ground,2 people are standing outside on the beach,2 people are standing outside on the grass,2 people are standing on the ground,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other
A group of people are sitting on the beach,A group of people are standing outside,A group of people are sitting on a bench,A group of people are standing on a bench,A couple of child relatives were hugging because they were happy to see each other
2 people are standing outside on the ground,2 people are standing outside on the beach,2 people are standing outside on the grass,2 people are standing on the ground,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other
The man is sitting outside,The people are outside,The man is sitting on a bench,The people are outdoors,Two kids were hugging
2 people are standing outside on the ground,2 people are standing outside on the beach,2 people are standing outside on the grass,2 people are standing on the ground,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other
Two people are sitting on the beach,Two people are sitting on the ground,Two people are sitting on the grass,Two people are sitting on a bench,Two youths were pushing each other
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street with a man,A group of people are walking down the street with a car,A large number of people wearing only white and red are walking on a street
A group of people are walking down a street,A group of people are standing in the water,A group of people are standing outside,A group of people are sitting on the beach,A large number of people wearing black walking down the street
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street with a man,A group of people are walking down the street with a car,A large number of people wearing only white and red are walking on a street
A group of people are walking down a street,A group of people are standing outside,A group of people are walking down the road,A group of people walking down a street,A large number of men walking down the street in red and white
A group of people are walking down the street,A group of people are walking down the street outside,A group of people are walking down the street with a man,A group of people are walking down the street with a car,A large number of people wearing only white and red are walking on a street
A woman is walking down the street,A person is walking down the street,A man is walking down the street,A woman is walking down the street with a car,A large number of people walking on a street
A group of people walking down the street,A group of people are walking down a street,A group of people walking down a street,A woman is walking down the street,A guy riding a motorcycle near junk cars
The man is taking a picture of children,The man is taking a picture of people,The man is taking a picture of water,The man is taking a picture outside,The man is test driving a motorcycle to decide whether or not he will buy it
A group of people walking down the street,A group of people are walking down a street,A group of people walking down a street,A woman is walking down the street,A guy riding a motorcycle near junk cars
A man is walking down the street,A woman is walking down a street,A woman is sitting on a bench,A man is walking down a street,A man is riding a motorcycle
A group of people walking down the street,A group of people are walking down a street,A group of people walking down a street,A woman is walking down the street,A guy riding a motorcycle near junk cars
A woman is sitting in the background,A man is walking down the street,A man is walking down the street with a car,A woman is sitting on a bench,A man is sitting on a parked motorcycle waiting for his friend
Woman standing outside on the beach,Woman standing outside on the ground,Woman sitting on a bench in the water,Woman sitting on a bench in the street,"Women of India performing with blue streamers, in beautiful blue costumes"
The dog is playing with their ball,The dog is playing with their hair,The dog is playing outside,The dog is running through a ball,indian women perform together in gorgeous costumes
Woman standing outside on the beach,Woman standing outside on the ground,Woman sitting on a bench in the water,Woman sitting on a bench in the street,"Women of India performing with blue streamers, in beautiful blue costumes"
The people are standing outside,The people are standing outdoors,The people are sitting outside,The people are standing outside of them,dogs sniff the air
Woman standing outside on the beach,Woman standing outside on the ground,Woman sitting on a bench in the water,Woman sitting on a bench in the street,"Women of India performing with blue streamers, in beautiful blue costumes"
The dog is running on a bench,The dog is running through a ball,The dog is playing outside,The dog is running through a snow,indian women are performing a religious ritual together
A group of people are walking down the street outside,A group of people are walking down the street,A group of people are walking down the street with a park,A group of people are walking down the street with a ball,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land
A man is sitting on the street,A woman is sitting on a bench,A woman is sitting on the beach,A man is standing outside,A person is swimming
A group of people are walking down the street outside,A group of people are walking down the street,A group of people are walking down the street with a park,A group of people are walking down the street with a ball,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land
The woman is sitting on a bench,The woman is wearing a blue shirt,The man is wearing a black shirt,The man is sitting on a bench,The swimmer is eating a toasted marshmallow
A group of people are walking down the street outside,A group of people are walking down the street,A group of people are walking down the street with a park,A group of people are walking down the street with a ball,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land
A man is walking down the street,The woman is wearing a blue shirt,The woman is walking down a street,A man is walking down the street with a car,The swimmer almost drowned after being sucked under a fast current
A man is walking down the street,The man is wearing a blue shirt,The woman is wearing a blue shirt,The woman is wearing a black shirt,The man in the black wetsuit is walking out of the water
A man wearing a white shirt and blue jeans,A woman is walking down the street,A man is wearing a white shirt,A man wearing a white shirt and black hat,A man in a wetsuit walks out of the water carrying a surfboard
A man is walking down the street,The man is wearing a blue shirt,The woman is wearing a blue shirt,The woman is wearing a black shirt,The man in the black wetsuit is walking out of the water
a person is walking down the street,a man is walking down the street,a person is walking through a woman,a person is walking through a street,a person is walking out of water
A man is walking down the street,The man is wearing a blue shirt,The woman is wearing a blue shirt,The woman is wearing a black shirt,The man in the black wetsuit is walking out of the water
A woman is looking at the beach,A man is looking at the camera,A man is looking at the ground,A woman is looking at the grass,A man is laying on the beach
5 people are sitting on a bench,5 people are sitting on the ground,5 people are sitting on the beach,5 people are sitting on a street,Five girls and two guys are crossing a overpass
The woman is sitting on a bench,The man is wearing a blue shirt,The man is walking down a street,The woman is sitting on a street,The extended family hike together on their family reunion
5 people are sitting on a bench,5 people are sitting on the ground,5 people are sitting on the beach,5 people are sitting on a street,Five girls and two guys are crossing a overpass
The woman is walking down a street,The man is walking down a street,The woman is wearing a blue shirt,The woman is sitting on a bench,The three men sit and talk about their lives
5 people are sitting on a bench,5 people are sitting on the ground,5 people are sitting on the beach,5 people are sitting on a street,Five girls and two guys are crossing a overpass
Two people are sitting on the beach,Two people are sitting in the water,Two people are walking on the beach,Two people are sitting on a bench,There are people outside
A woman is walking down the street with a park,A woman is walking down the street with a ball,A man is walking down the street with a park,A woman is walking down the street,A person with a purple shirt is painting an image of a woman on a white wall
A man is walking down the street,A woman is walking down a street,A woman is sitting on a bench,A man is walking down a street,A woman paints a portrait of her best friend
A woman is walking down the street with a park,A woman is walking down the street with a ball,A man is walking down the street with a park,A woman is walking down the street,A person with a purple shirt is painting an image of a woman on a white wall
A woman is walking down a street,A woman is sitting on a bench,A man is walking down a street,A man is sitting on a bench,A woman paints a portrait of a person
A woman is walking down the street with a park,A woman is walking down the street with a ball,A man is walking down the street with a park,A woman is walking down the street,A person with a purple shirt is painting an image of a woman on a white wall
A woman is walking down the street,A man is walking down the street,A man is walking down the street with a park,A woman is walking down the street with a car,A woman paints a portrait of a monkey
A man is walking down the street,A man is walking down the street with a park,A man is walking down the street with a ball,A man is walking down the street with a car,A woman is painting a mural of a woman's face
There is a man in the background,A woman is walking down a street,A woman is sitting on a bench,The man is walking down a street,There is a woman painting
A man is walking down the street,A man is walking down the street with a park,A man is walking down the street with a ball,A man is walking down the street with a car,A woman is painting a mural of a woman's face
The woman is sitting on a bench,A woman is sitting on a bench,The man is walking down a street,The woman is sitting on a street,There is a woman painting for fun
A man is walking down the street,A man is walking down the street with a park,A man is walking down the street with a ball,A man is walking down the street with a car,A woman is painting a mural of a woman's face
There is a woman in the background,The woman is wearing a blue shirt,The woman is wearing a black shirt,The man is wearing a blue shirt,There is a man tying his shoes
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on a bench,A woman is walking down the street,A couple is eating outside at a table and he is pointing at something
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on a bench,A group of people are standing outside,A couple is eating inside at a table and he is pointing at something
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on a bench,A woman is walking down the street,A couple is eating outside at a table and he is pointing at something
The woman is playing with a guitar,The woman is sitting on a bench,The man is playing a guitar,The woman is playing with a ball,The man is pointing at a purse snatcher
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on a bench,A woman is walking down the street,A couple is eating outside at a table and he is pointing at something
Two people are sitting on a bench,The people are sitting on a bench,The people are sitting outside,People are standing outside,People are eating at a table outside
2 people are standing outside on a bench,2 people are sitting on a bench with his face,2 people are sitting on a bench with his mouth,2 people are sitting on a bench with his back,Two women walk down a sidewalk along a busy street in a downtown area
The woman is walking down their street,The people are walking down their hands,The woman is walking down their hands,The people are walking through a man,The women were walking downtown because the buses were on strike
2 people are standing outside on a bench,2 people are sitting on a bench with his face,2 people are sitting on a bench with his mouth,2 people are sitting on a bench with his back,Two women walk down a sidewalk along a busy street in a downtown area
The woman is playing together,The person is sitting outside,The woman is playing with a ball,The woman is playing with her dog,The women were picking berries in the countryside
2 people are standing outside on a bench,2 people are sitting on a bench with his face,2 people are sitting on a bench with his mouth,2 people are sitting on a bench with his back,Two women walk down a sidewalk along a busy street in a downtown area
The woman is wearing a blue shirt,The woman is sitting outside,The woman is walking down,The woman is outside,The women were walking downtown
A group of people are walking down a street in his hands,A group of people are walking down a street in her hands,A group of people are standing next to a picture,A group of people are walking down a street in his hand,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."""
The woman is wearing a blue shirt,The woman is wearing a black shirt,The woman is sitting on a bench,The man is sitting on a bench,The people are having a chat before going into the work building
A group of people are walking down a street in his hands,A group of people are walking down a street in her hands,A group of people are standing next to a picture,A group of people are walking down a street in his hand,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."""
The woman is standing next to a market,The woman is standing next to a concert,The woman is standing next to a concrete,The woman is standing next to their ball,The group of people aren't inide of the building
A group of people are walking down a street in his hands,A group of people are walking down a street in her hands,A group of people are standing next to a picture,A group of people are walking down a street in his hand,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."""
The woman is sitting outside,The woman is sitting on a bench,The people are sitting on a bench,The man is sitting outside,The people are sitting in the hotel lobby
The woman is wearing a black shirt,The woman is sitting on a bench,The woman is wearing a blue shirt,The woman is walking down a street,The flight attendant dressed in yellow demonstrates life vest usage
A group of people are standing outside,A group of people are sitting outside,A group of people are sitting on a bench,A group of people are sitting on a street,A flight attendant is standing in front of passengers
The woman is wearing a black shirt,The woman is sitting on a bench,The woman is wearing a blue shirt,The woman is walking down a street,The flight attendant dressed in yellow demonstrates life vest usage
A woman is sitting on the street,A woman is sitting on the ground,A woman is sitting on the beach,A man is sitting on the street,A flight attendant is demonstrating safety procedures before takeoff
The woman is wearing a black shirt,The woman is sitting on a bench,The woman is wearing a blue shirt,The woman is walking down a street,The flight attendant dressed in yellow demonstrates life vest usage
A woman is sitting on a bench,A woman is standing outside on a bench,A woman is standing outside of a crowd,A man is sitting on the street,A woman is preparing drinks on an airplane
The woman is walking down,The people are outside,The people are walking down,The man is walking down,The girls walk down the street
The people are outside,The people are outdoors,The woman is outside,The person is outside,Girls walk down the street
The woman is walking down,The people are outside,The people are walking down,The man is walking down,The girls walk down the street
The people are sitting outside,The woman is sitting outside,The man is standing outside,The man is sitting outside,Girls set down in the street
The woman is walking down,The people are outside,The people are walking down,The man is walking down,The girls walk down the street
The people are sitting outside,The woman is sitting outside,The man is sitting outside,The man is sitting on a bench,Girls were going to the park
A woman is walking down the street in front of a crowd,A woman is walking down the street in front of a couch,A woman is walking down the street in front of a child,A woman is walking down the street in front of a park,A man wearing a red uniform and helmet stands on his motorbike
A woman is walking down a street,a woman is walking down a street,A woman is walking down a store,a woman is walking down a store,a man sitting in a car
A woman is walking down the street in front of a crowd,A woman is walking down the street in front of a couch,A woman is walking down the street in front of a child,A woman is walking down the street in front of a park,A man wearing a red uniform and helmet stands on his motorbike
People are walking down a store,A woman is walking down a store,There is a man in the water,People are walking outside,a person standing
A woman is walking down the street in front of a crowd,A woman is walking down the street in front of a couch,A woman is walking down the street in front of a child,A woman is walking down the street in front of a park,A man wearing a red uniform and helmet stands on his motorbike
A man is walking down the street,The woman is wearing a black shirt,The woman is wearing a blue shirt,The woman is wearing a red shirt,a man standing on his motorbike
A group of people are standing in a microphone,A group of people are walking down the street,A group of people are standing outside in the water,A group of people are walking down a street,A man of the cloth puts a black substance on a man's forehead
The woman is wearing a blue shirt,The woman is wearing a black shirt,The man is wearing a blue shirt,The man is walking through a ball,The man puts something on the other mans head
A group of people are standing in a microphone,A group of people are walking down the street,A group of people are standing outside in the water,A group of people are walking down a street,A man of the cloth puts a black substance on a man's forehead
The woman is playing together,The people are sitting outside,The people are sitting on a bench,The man is playing together,The women are at the park
A group of people are standing in a microphone,A group of people are walking down the street,A group of people are standing outside in the water,A group of people are walking down a street,A man of the cloth puts a black substance on a man's forehead
The people are sitting outside,The man is wearing a blue shirt,The man is taking a picture,The people are outside,The men are at church
A man is standing next to a children,A man is standing outside of a crowd,A woman is sitting on a street,A man is standing next to a chair,A person rolls down a hill riding a wagon as another watches
The people are standing outside,The people are sitting on a bench,The people are sitting outside,2 people are standing outside,Two people are outside
A man is standing next to a children,A man is standing outside of a crowd,A woman is sitting on a street,A man is standing next to a chair,A person rolls down a hill riding a wagon as another watches
A woman is sitting on a bench,A man is sitting on the ground,A man is sitting on the street,A woman is sitting on the beach,A person stares at an empty hill
A man is standing next to a children,A man is standing outside of a crowd,A woman is sitting on a street,A man is standing next to a chair,A person rolls down a hill riding a wagon as another watches
A group of people are standing outside,A group of people are sitting on a street,A group of people are sitting on a bench,A group of people are standing on a bench,A child in a wagon rolls down a hill
A man in a white shirt and blue jeans are playing the guitar,A woman in a black shirt and glasses is running on the beach,A man in a white shirt and blue jeans are playing together,A man in a white shirt and blue jeans are playing outside,a boy holding onto the wall of an old brick house's raised foundation
A woman wearing a black shirt and green hat sits on the beach,A woman wearing a black shirt and green hat sits on the floor,A woman wearing a black shirt and green hat sits on the water,A woman wearing a black shirt and green hat sits on the stage,a boy holding onto the wall of an old brick house's raised foundation as construction occurs
A man in a white shirt and blue jeans are playing the guitar,A woman in a black shirt and glasses is running on the beach,A man in a white shirt and blue jeans are playing together,A man in a white shirt and blue jeans are playing outside,a boy holding onto the wall of an old brick house's raised foundation
A man is walking down the street,A woman is walking down a street,A woman is walking down a busy street,A woman is sitting on a bench,a girl is leaning against the wall
A man in a white shirt and blue jeans are playing the guitar,A woman in a black shirt and glasses is running on the beach,A man in a white shirt and blue jeans are playing together,A man in a white shirt and blue jeans are playing outside,a boy holding onto the wall of an old brick house's raised foundation
A woman and a dog running on the sidewalk,A woman and a dog running on the street,A woman and a dog running in the street,A woman and a dog running on the ground,a boy is against the wall of a raised foundation
A little boy wearing a red shirt and blue jeans,A little boy wearing a red shirt and black pants,A little boy wearing a blue shirt and green hats,A little boy wearing a red shirt and black hats,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall"
A group of people are outside,A group of people are standing,A group of people are watching,A group of people are sitting,Bruce Springsteen is from Florida
A little boy wearing a red shirt and blue jeans,A little boy wearing a red shirt and black pants,A little boy wearing a blue shirt and green hats,A little boy wearing a red shirt and black hats,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall"
A group of people are outside,A group of people are sitting,A group of people are running,A group of people are walking,Bruce Springsteen is a singer
A little boy wearing a red shirt and blue jeans,A little boy wearing a red shirt and black pants,A little boy wearing a blue shirt and green hats,A little boy wearing a red shirt and black hats,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall"
A group of people are outside,A group of people are sitting,A group of people are walking,A group of people are playing,Bruce Springsteen is gay
The children are sitting outside,6 people are standing outside,6 people are sitting on a bench,6 people are sitting on a street,Six dogs swimming in a river
The children are standing in front of a bus,The children are standing in front of a man,The children are standing outside,The children are standing outdoors,Six dogs swim across the river
The children are sitting outside,6 people are standing outside,6 people are sitting on a bench,6 people are sitting on a street,Six dogs swimming in a river
6 people are standing outside,The children are sitting outside,6 people are standing outdoors,6 people are sitting outside,Six dogs are outdoors
The children are sitting outside,6 people are standing outside,6 people are sitting on a bench,6 people are sitting on a street,Six dogs swimming in a river
The people are running through a field,The people are sitting on a bench,The people are sitting outside,The people are running through a man,The puppies are setting on the couch
A group of people are walking down a street in the middle,A group of people are walking down a street,A group of people are walking down the street,A group of people are walking down the street with a man,A man and woman are taking a picture of themselves while a woman in a scarf walks by them
A group of people walking down the street,A man is walking down the street,A woman is walking down the street,A group of people walking down a street,A man and woman have mug shots taken because they have been arrested
A group of people are walking down a street in the middle,A group of people are walking down a street,A group of people are walking down the street,A group of people are walking down the street with a man,A man and woman are taking a picture of themselves while a woman in a scarf walks by them
A group of people are walking down the street,A group of people are walking down a street,A group of people are walking down a street in the middle,A group of people are walking down the street outside,A man and woman take selfies while a woman walks by and judges them
A group of people are walking down a street in the middle,A group of people are walking down a street,A group of people are walking down the street,A group of people are walking down the street with a man,A man and woman are taking a picture of themselves while a woman in a scarf walks by them
A woman is walking down the street,A man is walking down the street,A group of people are walking together,A group of people walking down a street,A man and woman take selfies of themselves
Two people are walking down the street,Two people are walking down a street,People are walking down the street,Two people are sitting on a bench,a group of people dancing together
People are walking outside,The people are outside,The people are outdoors,The woman is outside,People are dancing
Two people are walking down the street,Two people are walking down a street,People are walking down the street,Two people are sitting on a bench,a group of people dancing together
The woman is sitting on a bench,The woman is sitting outside,The woman is sitting on a street,The woman is sitting outside of them,They are doing the tango
Two people are walking down the street,Two people are walking down a street,People are walking down the street,Two people are sitting on a bench,a group of people dancing together
Nobody is playing outside,Nobody is sitting outside,The people are outside,The woman is outside,No one is dancing
The man is wearing a blue shirt,Two people are sitting outside,The man is wearing blue shirts,The man is wearing blue shirt,Men wearing blue uniforms sit on a bus
The man is sitting outside,The man is sitting on a bench,The man is sitting on a street,The person is outside,Men sit on the bus
The man is wearing a blue shirt,Two people are sitting outside,The man is wearing blue shirts,The man is wearing blue shirt,Men wearing blue uniforms sit on a bus
The man is wearing a blue shirt,The man is walking down a street,The man is sitting outside,The man is sitting on a bench,"Men sit on the bus going to work,"
The man is wearing a blue shirt,Two people are sitting outside,The man is wearing blue shirts,The man is wearing blue shirt,Men wearing blue uniforms sit on a bus
The man is sitting outside,The man is playing outside,The person is outside,The person is outdoors,Men drive the bus into the ocean
The woman is wearing a blue shirt,The woman is sitting on a bench,The man is wearing a black shirt,The man is wearing a blue shirt,Two men climbing on a wooden scaffold
The man is wearing a blue shirt,The man is sitting on a bench,The man is walking down a street,The woman is wearing a black hat,Two people climbing on a wooden scaffold
The woman is wearing a blue shirt,The woman is sitting on a bench,The man is wearing a black shirt,The man is wearing a blue shirt,Two men climbing on a wooden scaffold
The man is wearing a black shirt,The man is wearing a blue shirt,The man is walking down a street,The woman is walking down a ball,Two women climbing on a wooden scaffold
The woman is wearing a blue shirt,The woman is sitting on a bench,The man is wearing a black shirt,The man is wearing a blue shirt,Two men climbing on a wooden scaffold
2 people are sitting on a bench,The boy is playing outside,2 people are sitting on a beach,2 people are sitting on a couch,Two sad men climbing on a wooden scaffold
A group of people are sitting on the beach,A group of people are watching for the street,A group of people are standing in the water,A group of people are standing outside,A bird is flapping its wings on the water
The woman is sitting on a bench,The woman is walking through a ball,The woman is walking through a park,The woman is taking a picture,The bird is floating on the water
A group of people are sitting on the beach,A group of people are watching for the street,A group of people are standing in the water,A group of people are standing outside,A bird is flapping its wings on the water
The man is wearing a blue shirt,The woman is walking on a bench,The woman is wearing a red hat,The woman is wearing a blue hat,The bird is flying over the trees
A group of people are sitting on the beach,A group of people are watching for the street,A group of people are standing in the water,A group of people are standing outside,A bird is flapping its wings on the water
The man is sitting on a bench,The woman is holding a ball,The woman is holding hands,The man is wearing a blue hat,The duck is swimming in the lake
A woman wearing a red shirt and blue jeans holds up the street,A woman wearing a red shirt and blue jeans holds up the sidewalk,A woman wearing a red shirt and blue jeans holds up the camera,A woman wearing a red shirt and blue jeans holds up the grass,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air
A group of people are walking down the street,A group of people are sitting on a bench,A group of people are standing outside,A group of people are standing on a bench,A young boy is playing in a feild
A woman wearing a red shirt and blue jeans holds up the street,A woman wearing a red shirt and blue jeans holds up the sidewalk,A woman wearing a red shirt and blue jeans holds up the camera,A woman wearing a red shirt and blue jeans holds up the grass,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air
A group of people are walking down a street,A group of people are standing in the water,A group of people are standing outside,A group of people are sitting on the beach,A young boy is playing in the field because his mother kicked him out of the house
A woman wearing a red shirt and blue jeans holds up the street,A woman wearing a red shirt and blue jeans holds up the sidewalk,A woman wearing a red shirt and blue jeans holds up the camera,A woman wearing a red shirt and blue jeans holds up the grass,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air
A group of people are standing outside,A group of people are sitting outside,A group of people are sitting on a street,A group of people are sitting on a bench,A young boy is playing video games indoors
6 children are walking down the street with a person,6 children are walking down the street with a park,6 children are walking down the street with a party,6 children are walking down the street with a pool,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground
The woman is holding a ball,The person is outside,The woman is outside,The woman is wearing a black,They are going fishing
6 children are walking down the street with a person,6 children are walking down the street with a park,6 children are walking down the street with a party,6 children are walking down the street with a pool,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground
6 people are standing outside,6 people are sitting in the water,6 people are sitting on a bench,6 people are standing on a bench,Six or seven people are standing on a pier
